LTLA/NHS,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat_mean,NO2_sat_mean,Z-score,p-value,q-value
Ceredigion,72992,41,42,58,6,8,14,6.451607511,1.415973339,2.573294378,0.024,3
Charnwood,182643,654,303,166,90,49,30,11.69363855,6.192889055,1.15541416,0.258,1
Chelmsford,177079,517,410,232,115,65,28,12.25997168,7.657999992,1.966181313,0.02,1
Cheltenham,117090,2511,321,274,122,104,38,11.48701192,4.148332562,-0.027876164,0.878,4
Cherwell,149161,253,412,276,108,72,26,11.08722097,4.703714269,-0.832327615,0.418,2
Cheshire East,380790,326,1231,323,400,105,32,9.971521784,6.239822165,0.1560252,0.91,1
Cheshire West and Chester,340502,371,1141,335,290,85,25,9.620976618,5.026777764,0.700471437,0.51,3
Chesterfield,104628,1583,227,217,65,62,29,12.18278041,6.373666763,0.334722626,0.878,1
Chichester,120750,153,142,118,66,55,46,11.41042178,4.937185129,1.19323681,0.22,1
Chiltern,95927,488,200,208,88,92,44,11.41317846,7.408666611,0.946393852,0.332,1
Chorley,116821,576,341,292,86,74,25,8.767266219,5.210444609,0.955311827,0.332,3
Christchurch,395784,2451,481,122,165,42,34,11.47987164,3.836666743,-0.499753063,0.55,4
City of London,8706,2997,17,195,4,46,24,14.56842089,10.11154621,-3.249852191,0.002,2
Colchester,192523,578,376,195,93,48,25,12.45643408,4.605111202,-1.436275417,0.124,2
Conwy,117181,104,531,453,47,40,9,6.919251988,1.922888891,2.035101128,0.072,3
Copeland,68424,93,276,403,48,70,17,6.21001184,1.450133312,2.460308449,0.036,3
Corby,70827,882,125,176,38,54,30,11.48212511,4.671356207,0.728886439,0.46,1
Cornwall,565968,159,576,102,190,34,33,6.039741286,1.510751775,-2.243013299,0.058,4
Cotswold,89022,76,155,174,51,57,33,10.08901632,4.568000031,-0.030580595,0.934,4
County Durham,526980,236,2005,380,532,101,27,6.681507096,4.306344854,3.122130058,0.006,3
Coventry,366785,3716,807,220,254,69,31,12.07919219,5.248057078,0.629768143,0.57,1
Craven,56832,48,142,250,58,102,41,7.559770716,3.919999991,-2.57681054,0.028,4
Crawley,112448,2499,208,185,67,60,32,12.12012928,5.706373234,0.919082951,0.374,1
Croydon,385346,4454,1509,392,450,117,30,11.86808913,8.695013374,2.080527448,0.02,1
Dacorum,154280,726,360,233,106,69,29,11.71289952,6.452000141,0.921190365,0.36,1
Darlington,106566,539,389,365,70,66,18,8.4894551,3.829777797,1.95301262,0.082,3
Dartford,109709,1507,476,434,93,85,20,13.11361554,9.165965525,-1.384464628,0.122,2
Daventry,84484,127,135,160,51,60,38,11.16992651,5.075666606,0.975984661,0.33,1
Denbighshire,95330,114,566,594,58,61,10,7.608619238,2.335777799,2.485167172,0.034,3
Derby,257174,3293,589,229,248,96,42,13.81908507,5.645022189,0.768362264,0.476,1
Derbyshire Dales,71977,90,158,220,57,79,36,10.53268053,6.174066639,0.185632053,0.952,1
Derry City and Strabane,150679,121,160,106,21,14,13,3.505558064,1.129958317,4.311696264,0.002,3
Doncaster,310542,546,786,253,165,53,21,11.76114511,9.928222126,-0.626099375,0.568,2
