province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr,Z-score,p-value,q-value
Heilongjiang,Qiqihar,5052000,119.6646196,43,0.85114806,1,0.019794141,2.325581395,17.94177622,0.88056147,90.43822287,50.78821335,8.272883577,11.26390642,27.35662095,14.39923506,2.032070775,0.034,3
Heilongjiang,Heihe,1642000,24.56255145,14,0.852618758,0,0,0,11.10287968,0.460627118,69.1088955,34.08516809,3.431589529,7.125888861,20.06140801,10.07190897,2.312219795,0.016,3
Heilongjiang,Suihua,5213000,147.4046078,47,0.901592173,4,0.076731249,8.510638298,29.74711274,1.270418454,89.29740841,44.72504845,4.802223343,11.3329202,25.44921514,9.439363989,1.448778996,0.132,3
Heilongjiang,Harbin,10981000,205.9444331,264,1.80311447,4,0.036426555,2.02020202,33.8137193,1.583464262,129.2425975,73.40587849,8.314761622,22.38663094,26.33977606,18.99365657,1.145790447,0.238,3
Heilongjiang,Qitaihe,868000,162.3756388,17,1.958525346,0,0,0,23.5488253,1.139735455,101.8568465,56.12759336,3.908713693,5.702282158,20.15621679,5.190871369,1.319690793,0.174,3
Heilongjiang,Jixi,1842000,72.8627605,46,2.497285559,0,0,0,19.56509261,0.922821222,63.2690556,37.55513778,7.978462665,8.048967562,18.745269,10.42697347,1.255033674,0.22,3
Heilongjiang,Shuangyashan,1459000,63.13683753,52,3.56408499,3,0.205620288,5.769230769,18.18695987,0.860587064,98.39395294,51.97396293,6.700955855,9.809915378,22.26396474,8.831120709,1.240721506,0.212,3
Henan,Sanmenxia,2272900,228.9429788,7,0.307976594,1,0.043996656,14.28571429,26.8459596,2.057770831,153.672049,87.83564661,15.09571716,18.5788156,20.85653765,30.19652931,-0.265442511,0.802,2
Henan,Luoyang,6888500,457.7222412,31,0.450025405,1,0.014516949,3.225806452,30.75893806,2.590195018,138.0048439,85.83714789,17.17080576,20.37618832,24.69084433,23.82422468,-1.666579439,0.11,2
Henan,Puyang,3609400,860.556577,17,0.470992409,0,0,0,61.87868844,4.414333304,153.459074,90.42626144,13.79818885,19.94533568,24.78124216,16.7602939,-4.713918618,0.002,2
Henan,Kaifeng,4564900,729.656823,26,0.569563408,0,0,0,58.97350988,4.69534463,138.1806193,81.59932935,13.86301461,16.77161607,21.53462936,15.08986917,-4.168628411,0.002,2
Henan,Jiyuan shi,732700,387.1149021,5,0.682407534,0,0,0,36.98291092,4.512866664,128.4919355,86.29737903,14.87487386,14.32459677,15.58054711,27.73891129,-0.654202576,0.516,2
Henan,Zhoukou,8677800,721.7941513,76,0.875798013,1,0.011523658,1.315789474,56.25649908,3.124275857,149.6650277,94.06277791,21.87592626,10.61601841,15.52757297,12.0459567,-4.248102044,0.002,2
Henan,Xuchang,4437400,887.985272,39,0.878893045,1,0.022535719,2.564102564,55.43194533,4.373086935,144.5619957,91.02397227,12.86420059,22.2770703,21.16243076,15.42287314,-3.209582375,0.002,2
Henan,Jiaozuo,3590700,853.9941386,32,0.891191133,1,0.027849723,3.125,47.99058144,6.831674785,144.4686102,81.08309821,20.94831908,20.08732956,16.9710391,33.1194387,-1.424309957,0.152,2
Henan,Xinxiang,5794100,703.1642391,57,0.983759341,3,0.051776807,5.263157895,54.4366686,5.733188784,154.2737268,98.53078043,13.14574304,20.92812495,21.89931297,22.30893153,-3.693667559,0.004,2
Henan,Anyang,5176000,711.13178,53,1.023956723,0,0,0,51.70968232,5.751119989,148.8487111,100.5199857,18.84841463,23.34900903,19.12546742,24.7254038,-2.881408006,0.008,2
